Date,Open,High,Low,Close,Volume,Adj Close
2008-06-13,3020.15,3028.85,2978.97,2979.56,000,2979.56
2008-06-12,3046.77,3046.77,2978.58,3020.15,000,3020.15
2008-06-11,3033.05,3068.36,3028.37,3046.77,000,3046.77
2008-06-10,3084.02,3084.02,3033.05,3033.05,000,3033.05
2008-06-09,3146.73,3146.73,3057.30,3084.02,000,3084.02
2008-06-06,3143.89,3184.93,3143.89,3146.73,000,3146.73
2008-06-05,3134.80,3143.89,3113.96,3143.89,000,3143.89
2008-06-04,3153.94,3169.39,3125.69,3134.80,000,3134.80
2008-06-03,3188.05,3188.05,3143.03,3153.94,000,3153.94
2008-06-02,3192.62,3214.64,3179.69,3188.05,000,3188.05
2008-05-30,3160.78,3199.86,3154.82,3192.62,000,3192.62
2008-05-29,3132.78,3166.25,3132.78,3160.78,000,3160.78
2008-05-28,3115.35,3134.78,3112.99,3132.78,000,3132.78
2008-05-27,3103.30,3134.05,3102.91,3115.35,000,3115.35
2008-05-26,3122.15,3122.15,3085.13,3103.30,000,3103.30
2008-05-23,3160.86,3177.34,3122.15,3122.15,000,3122.15
2008-05-22,3196.90,3196.90,3138.55,3160.86,000,3160.86
2008-05-21,3199.88,3200.40,3153.75,3196.90,000,3196.90
2008-05-20,3241.49,3254.44,3187.01,3199.88,000,3199.88
2008-05-16,3207.43,3249.38,3207.43,3241.49,000,3241.49
2008-05-15,3198.51,3228.30,3198.51,3207.43,000,3207.43
2008-05-14,3203.42,3214.05,3178.72,3198.51,000,3198.51
2008-05-13,3180.16,3213.36,3180.16,3203.42,000,3203.42
2008-05-12,3162.03,3192.88,3147.82,3180.16,000,3180.16
2008-05-09,3171.88,3175.89,3140.58,3162.03,000,3162.03
2008-05-08,3228.95,3228.95,3153.39,3171.88,000,3171.88
2008-05-07,3248.75,3267.54,3203.71,3228.95,000,3228.95
2008-05-06,3248.04,3259.54,3233.83,3248.75,000,3248.75
2008-05-05,3236.10,3269.88,3236.10,3248.04,000,3248.04
2008-05-02,3147.79,3236.10,3147.79,3236.10,000,3236.10
2008-05-01,3147.79,3147.79,3147.79,3147.79,000,3147.79
2008-04-30,3172.36,3184.59,3147.79,3147.79,000,3147.79
2008-04-29,3201.63,3201.63,3164.86,3172.36,000,3172.36
2008-04-28,3189.20,3216.93,3189.20,3201.63,000,3201.63
2008-04-25,3177.55,3209.71,3174.33,3189.20,000,3189.20
2008-04-24,3193.84,3235.24,3170.22,3177.55,000,3177.55
2008-04-23,3187.23,3208.50,3178.59,3193.84,000,3193.84
2008-04-22,3171.09,3193.66,3150.58,3187.23,000,3187.23
2008-04-21,3124.87,3201.38,3124.87,3171.09,000,3171.09
2008-04-18,3126.30,3129.81,3108.05,3124.87,000,3124.87
2008-04-17,3087.49,3152.54,3087.49,3126.30,000,3126.30
2008-04-16,3056.49,3103.18,3056.49,3087.49,000,3087.49
2008-04-15,3042.96,3070.62,3035.63,3056.49,000,3056.49
2008-04-14,3126.87,3126.87,3033.78,3042.96,000,3042.96
2008-04-11,3064.60,3127.66,3064.60,3126.87,000,3126.87
2008-04-10,3089.72,3089.72,3057.92,3064.60,000,3064.60
